id	donor	eartag	day	cage	treatment	strain	type	File	inoculum	donor.id	cage_un	eartag_un	day2
C2537.1306.A.D11	C2537	1306	D11	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1306	D11
C2537.1306.A.D09	C2537	1306	D09	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1306	D09
C2537.1306.A.D07	C2537	1306	D07	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1306	D07
C2537.1306.A.D05	C2537	1306	D05	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1306	D05
C2537.1306.A.D04	C2537	1306	D04	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1306	D04
C2537.1306.A.D02	C2537	1306	D02	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1306	D02
C2537.1306.A.D17	C2537	1306	D17	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1306	D17
C2537.1306.A.D13	C2537	1306	D13	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1306	D13
C2537.1306.A.D21	C2537	1306	D21	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1306	D21
C2537.1306.A.D20	C2537	1306	D20	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1306	D20
C2537.1306.A.D19	C2537	1306	D19	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1306	D19
C2537.1306.A.D18	C2537	1306	D18	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1306	D18
C2537.1306.A.D16	C2537	1306	D16	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1306	D16
C2537.1306.A.D14	C2537	1306	D14	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1306	D14
C2537.1306.A.D12	C2537	1306	D12	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1306	D12
C2537.1306.A.D10	C2537	1306	D10	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1306	D10
C2537.1306.A.D08	C2537	1306	D08	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1306	D08
C2537.1306.A.D06	C2537	1306	D06	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1306	D06
C2537.1306.A.D03	C2537	1306	D03	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1306	D03
C2537.1390.A.D11	C2537	1390	D11	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1390	D11
C2537.1390.A.D07	C2537	1390	D07	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1390	D07
C2537.1390.A.D05	C2537	1390	D05	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1390	D05
C2537.1390.A.D04	C2537	1390	D04	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1390	D04
C2537.1390.A.D02	C2537	1390	D02	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1390	D02
C2537.1390.A.D17	C2537	1390	D17	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1390	D17
C2537.1390.A.D15	C2537	1390	D15	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1390	D15
C2537.1390.A.D13	C2537	1390	D13	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1390	D13
C2537.1390.A.D21	C2537	1390	D21	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1390	D21
C2537.1390.A.D20	C2537	1390	D20	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1390	D20
C2537.1390.A.D19	C2537	1390	D19	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1390	D19
C2537.1390.A.D18	C2537	1390	D18	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1390	D18
C2537.1390.A.D16	C2537	1390	D16	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1390	D16
C2537.1390.A.D14	C2537	1390	D14	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1390	D14
C2537.1390.A.D12	C2537	1390	D12	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1390	D12
C2537.1390.A.D10	C2537	1390	D10	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1390	D10
C2537.1390.A.D08	C2537	1390	D08	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1390	D08
C2537.1390.A.D06	C2537	1390	D06	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1390	D06
C2537.1390.A.D03	C2537	1390	D03	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1390	D03
C2537.1399.A.D11	C2537	1399	D11	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1399	D11
C2537.1399.A.D09	C2537	1399	D09	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1399	D09
C2537.1399.A.D07	C2537	1399	D07	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1399	D07
C2537.1399.A.D05	C2537	1399	D05	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1399	D05
C2537.1399.A.D02	C2537	1399	D02	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1399	D02
C2537.1399.A.D01	C2537	1399	D01	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1399	D01
C2537.1399.A.D17	C2537	1399	D17	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1399	D17
C2537.1399.A.D15	C2537	1399	D15	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1399	D15
C2537.1399.A.D13	C2537	1399	D13	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1399	D13
C2537.1399.A.D21	C2537	1399	D21	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1399	D21
C2537.1399.A.D20	C2537	1399	D20	A	none	C57Bl/6	sample	C2537A_ntb	Human	C2537.inoculum_1	C2537_A	C2537_A_1399	D20
